Cus_ID,FullName,EmailAddress,Requested_Amount,Emi_Amount,Age,Postal_Code,Applicant_State_Desc,Applicant_City_Desc,Resid_Owned_By_Desc,No_Of_Years_At_Residence,Employment_Type_Desc,Duration_Of_Current_Emp,Years_In_Current_Business,Total_Work_Experience,Car_Register,Product_Name1,Product_Line,Loan_Term,Variant_Code,Manufacturer_Desc,Employment_Type_Desc,application_creation_date,Ex_Showroom_Price,Segment,Segment_Desc,Cost_Of_Vehicle,Average_Bank_Balance,Bureau_score,IRR,insurance_Code
179,Roscoe,Roscoe1@gmail.com,1000000,34700,41.08,10220,Bang Khen,Bnagkok,SELF,15,SELF EMPLOYED NON-PROFESSIONAL,,6,,บด102,TOYOTA INNOVA,TOYOTA INNOVA 2013 2.5 EV PS 8 STR BS-IV,36,2.5EV PS 8 STR BS-IV,TOYOTA,SELF EMPLOYED NON-PROFESSIONAL,11/20/2014,1105123,MUV,MUV,1105123,20101.33,783,15.19,100501
180,Sylvester,Sylvester1@gmail.com,421000,12500,64.17,10220,Bang Khen,Bnagkok,SELF,23,SELF EMPLOYED NON-PROFESSIONAL,,25,,บด103,TOYOTA INNOVA,TOYOTA INNOVA 2013 2.5 GX 7 STR BS-IV,48,2.5 GX 7 STR BS-IV,TOYOTA,SELF EMPLOYED NON-PROFESSIONAL,12/20/2014,768652,A3,Mid-Size,768652,23333.92,-1,18.8,100501
183,Earnest,Earnest1@gmail.com,1500000,38100,29,10220,Bang Khen,Bnagkok,PARENTS,20,SELF EMPLOYED NON-PROFESSIONAL,,3,,บด104,AUDI A4,AUDI A4 2.0 TDI (143BHP),60,2.0 TDI (143bhp),AUDI,SELF EMPLOYED NON-PROFESSIONAL,11/22/2014,2723651,A6,Premium-II,2723651,,777,14.21,100501
184,Hiram,Hiram1@gmail.com,450000,16170,29.5,10220,Bang Khen,Bnagkok,SELF,11,SELF EMPLOYED NON-PROFESSIONAL,,17,,บด105,TOYOTA INNOVA,TOYOTA INNOVA 2013 2.5 EV PS 8 STR BS-IV,36,2.5EV PS 8 STR BS-IV,TOYOTA,SELF EMPLOYED NON-PROFESSIONAL,11/24/2014,538812,MUV,MUV,538812,6882.75,762,22.1,100501
185,Otis,Otis1@gmail.com,300000,12500,30.11,10220,Bang Khen,Bnagkok,SELF,,SELF EMPLOYED NON-PROFESSIONAL,,,,บด106,CHEVROLET TAVERA,CHEVROLET TAVERA NEO 3 LT- 7(C) STR BS-III,36,Neo 3 LT- 7(C) STR B,CHEVROLET INDIA LTD,SELF EMPLOYED NON-PROFESSIONAL,11/24/2014,,MUV,MUV,500000,,527,15.5,100501
187,Simon,Simon1@gmail.com,350000,7400,38.33,10220,Bang Khen,Bnagkok,PARENTS,6,SELF EMPLOYED NON-PROFESSIONAL,,5,,บด107,TATA MANZA,TATA MANZA GVX,60,GVX,TATA MOTORS LTD,SELF EMPLOYED NON-PROFESSIONAL,12/4/2014,342412,A3,Mid-Size,342412,10700.58,765,18.7,100501
188,Willard,Willard1@gmail.com,800000,16800,39.7,10220,Bang Khen,Bnagkok,SELF,,SELF EMPLOYED NON-PROFESSIONAL,,,,บด109,Honda Mobilio,Honda Mobilio 1.5 SMT,60,Honda Mobilio,HONDA,SELF EMPLOYED NON-PROFESSIONAL,12/8/2014,,MUV,MUV,900000,,734,25.7,100501
189,Irvin,Irvin1@gmail.com,5000000,91000,50.6,10220,Bang Khen,Bnagkok,PARENTS,0.6,SELF EMPLOYED NON-PROFESSIONAL,,11,,บด110,PORSCHE CAYENNE,PORSCHE CAYENNE TURBO S,60,Turbo S,PORSCHE,SELF EMPLOYED NON-PROFESSIONAL,12/8/2014,5002700,A6,Premium-II,5002700,,738,22.9,100501
190,Mark,Mark1@gmail.com,500000,9800,33.2,10220,Bang Khen,Bnagkok,PARENTS,,SELF EMPLOYED NON-PROFESSIONAL,,,,บด111,MARUTI SUZUKI SWIFT,MARUTI SUZUKI SWIFT ZDI,60,ZDi,MARUTI,SELF EMPLOYED NON-PROFESSIONAL,12/9/2014,,A2,Compact,600000,,549,22.3,100501
191,Jose,Jose1@gmail.com,250000,15800,29.5,10220,Bang Khen,Bnagkok,RENTED,6,SELF EMPLOYED NON-PROFESSIONAL,,6,,บด112,HYUNDAI VERNA,HYUNDAI VERNA FLUIDIC 1.4 CRDI CX,36,Fluidic 1.4 CRDi CX,HYUNDAI,SELF EMPLOYED NON-PROFESSIONAL,12/9/2014,506070,A3,Mid-Size,506070,13624.67,734,18.1,100501
192,Wilbur,Wilbur1@gmail.com,150000,4000,31.1,10220,Bang Khen,Bnagkok,PARENTS,15,SELF EMPLOYED NON-PROFESSIONAL,,6,,บด113,MARUTI SUZUKI ALTO 800,MARUTI SUZUKI ALTO 800 LXI (AIRBAG),57,Lxi (Airbag),MARUTI,SELF EMPLOYED NON-PROFESSIONAL,12/10/2014,179105,A2,Compact,179105,4,-1,20.7,100501
193,Abraham,Abraham1@gmail.com,1100000,48500,44.4,10220,Bang Khen,Bnagkok,SELF,8,SELF EMPLOYED NON-PROFESSIONAL,,10,,บด114,CHEVROLET CAPTIVA,CHEVROLET CAPTIVA LT,36,LT,CHEVROLET INDIA LTD,SELF EMPLOYED NON-PROFESSIONAL,12/16/2014,1102830,SUV,SUV,1102830,,619,17.41,100501
194,Virgil,Virgil1@gmail.com,500000,14400,41.58,10220,Bang Khen,Bnagkok,SELF,10,SELF EMPLOYED NON-PROFESSIONAL,,14,,บด115,VOLKSWAGEN POLO,VOLKSWAGEN POLO COMFORTLINE 1.2L (D),60,Comfortline 1.2L (D),VOLKSWAGAN,SELF EMPLOYED NON-PROFESSIONAL,12/16/2014,650627,A2,Compact,650627,,765,21.4,100501
195,Clinton,Clinton1@gmail.com,1800000,43500,21.11,10220,Bang Khen,Bnagkok,PARENTS,12,SELF EMPLOYED NON-PROFESSIONAL,,10,,บด117,MITSUBISHI PAJERO SPORT,MITSUBISHI PAJERO SPORT 2.5 MT,60,2.5 MT,MITSUBISHI,SELF EMPLOYED NON-PROFESSIONAL,12/16/2014,2146971,SUV,SUV,2146971,24928.33,758,26.2,100501
197,Elbert,Elbert1@gmail.com,650000,14800,31.75,10220,Bang Khen,Bnagkok,PARENTS,30,SALARIED,3,,3,บด118,CHEVROLET ENJOY,CHEVROLET ENJOY 1.3 LTZ 7 STR,60,1.3 LTZ 7 STR,CHEVROLET INDIA LTD,SALARIED,12/17/2014,735581,MUV,MUV,735581,3716.08,789,21,100501
198,Leslie,Leslie1@gmail.com,1000000,23100,48.1,10220,Bang Khen,Bnagkok,RENTED,7,SELF EMPLOYED NON-PROFESSIONAL,,10,,บด119,MAHINDRA XUV500,MAHINDRA XUV500 W8 AWD,60,W8 AWD,MAHINDRA,SELF EMPLOYED NON-PROFESSIONAL,12/17/2014,1187015,SUV,SUV,1187015,64571,859,22,100501
199,Marshall,Marshall1@gmail.com,550000,29000,35.8,10220,Bang Khen,Bnagkok,PARENTS,20,SELF EMPLOYED NON-PROFESSIONAL,,9,,บด121,MARUTI SUZUKI SWIFT,MARUTI SUZUKI SWIFT ZDI,36,ZDi,MARUTI,SELF EMPLOYED NON-PROFESSIONAL,12/18/2014,659425,A2,Compact,659425,,521,21.41,100501
200,Owen,Owen1@gmail.com,110000,3950,26.8,10220,Bang Khen,Bnagkok,PARENTS,7,SALARIED,7,,7,บด122,MARUTI SUZUKI WAGON R 1.0,MARUTI SUZUKI WAGON R 1.0 LXI,36,LXi,MARUTI,SALARIED,12/18/2014,211220,A2,Compact,211220,6023.25,798,14.1,100501
201,Wiley,Wiley1@gmail.com,300000,5750,30.1,10260,Phra Khanon,Bnagkok,PARENTS,20,SELF EMPLOYED NON-PROFESSIONAL,,5,,บด124,MARUTI SUZUKI EECO,MARUTI SUZUKI EECO 5 STR WITH A/C+HTR CNG,60,5 STR WITH A/C+HTR C,MARUTI,SELF EMPLOYED NON-PROFESSIONAL,12/19/2014,278830,MUV,MUV,278830,27930.08,785,15.5,100901
203,Anton,Anton1@gmail.com,350000,14161,34.12,10260,Phra Khanon,Bnagkok,RELATIVE,7,SELF EMPLOYED NON-PROFESSIONAL,,7,,บด125,HONDA CITY,HONDA CITY VX DIESEL,29,VX Diesel,HONDA,SELF EMPLOYED NON-PROFESSIONAL,12/23/2014,384615,A3,Mid-Size,384615,4500.42,-1,17.7,100901
205,Morris,Morris1@gmail.com,800000,15000,60.25,10260,Phra Khanon,Bnagkok,SELF,30,SELF EMPLOYED NON-PROFESSIONAL,,10,,บด126,CHEVROLET TAVERA,CHEVROLET TAVERA NEO 3 LT- 9 STR BS-III,60,Neo 3 LT- 9 STR BS-I,CHEVROLET INDIA LTD,SELF EMPLOYED NON-PROFESSIONAL,12/23/2014,732123,MUV,MUV,732123,51962.25,785,18.74,100901
207,Manuel,Manuel1@gmail.com,800000,31850,39.33,10260,Phra Khanon,Bnagkok,PARENTS,8,SELF EMPLOYED NON-PROFESSIONAL,,10,,บด127,SKODA OCTAVIA,SKODA OCTAVIA ELEGANCE 2.0 TDI CR AT,16,Elegance 2.0 TDI CR,SKODA,SELF EMPLOYED NON-PROFESSIONAL,12/24/2014,530551,A4,Executive,530551,20579.42,588,26.5,100901
208,Phillip,Phillip1@gmail.com,279000,10250,40,10260,Phra Khanon,Bnagkok,PARENTS,20,SELF EMPLOYED NON-PROFESSIONAL,,3,,บด128,TATA INDICA VISTA,TATA INDICA VISTA LS TDI BS-III,36,LS TDI BS-III,TATA MOTORS LTD,SELF EMPLOYED NON-PROFESSIONAL,12/27/2014,372062,A2,Compact,372062,33118.67,802,17.5,100901
209,Augustus,Augustus1@gmail.com,700000,35000,54.17,10260,Phra Khanon,Bnagkok,SELF,20,SELF EMPLOYED NON-PROFESSIONAL,,30,,บด129,MITSUBISHI PAJERO SPORT,MITSUBISHI PAJERO SPORT 2.5 MT,24,2.5 MT,MITSUBISHI,SELF EMPLOYED NON-PROFESSIONAL,12/27/2014,1553962,SUV,SUV,1553962,6614.25,837,15.97,100901
211,Emmett,Emmett1@gmail.com,1100000,130000,66.1,10260,Phra Khanon,Bnagkok,SELF,8,RETIRED,,,,บด132,MITSUBISHI MONTERO,MITSUBISHI MONTERO 3.2 DI-D MT,12,3.2 Di-D MT,MITSUBISHI,RETIRED,12/27/2014,1152182,SUV,SUV,1182152,,625,20.5,100901
212,Eli,Eli1@gmail.com,250000,14000,33.12,10260,Phra Khanon,Bnagkok,PARENTS,33,SELF EMPLOYED NON-PROFESSIONAL,,6,,บด133,TOYOTA INNOVA,TOYOTA INNOVA 2013 2.5 VX 8 STR BS-IV,36,2013 2.5 VX 8 STR B,TOYOTA,SELF EMPLOYED NON-PROFESSIONAL,1/3/2015,978346,A3,Mid-Size,978346,78124.33,783,18.48,100901
213,Nicholas,Nicholas1@gmail.com,900000,29000,41.17,10260,Phra Khanon,Bnagkok,SELF,11,SELF EMPLOYED NON-PROFESSIONAL,,16,,บด135,VOLKSWAGEN VENTO,VOLKSWAGEN VENTO HIGHLINE PETROL AT,60,Highline Petrol AT,VOLKSWAGAN,SELF EMPLOYED NON-PROFESSIONAL,1/5/2015,943026,A3,Mid-Size,943026,,765,16.21,100901
214,Wilson,Wilson1@gmail.com,500000,12300,24.25,10260,Phra Khanon,Bnagkok,PARENTS,20,SELF EMPLOYED NON-PROFESSIONAL,,5,,บด137,MARUTI SUZUKI SWIFT,MARUTI SUZUKI SWIFT VXI,36,VXi,MARUTI,SELF EMPLOYED NON-PROFESSIONAL,1/5/2015,451825,A2,Compact,451825,8735,-1,18.2,100901
216,Alva,Alva1@gmail.com,500000,17500,55.7,10260,Phra Khanon,Bnagkok,SELF,,SELF EMPLOYED NON-PROFESSIONAL,,7,,บด138,VOLKSWAGEN POLO,VOLKSWAGEN POLO HIGHLINE1.2L (P),60,Highline1.2L (P),VOLKSWAGAN,SELF EMPLOYED NON-PROFESSIONAL,1/8/2015,573027,A2,Compact,573027,,802,17.46,100901
217,Harley,Harley1@gmail.com,700000,15000,50.7,10260,Phra Khanon,Bnagkok,SELF,,SELF EMPLOYED NON-PROFESSIONAL,,,,บด139,VOLKSWAGEN VENTO,VOLKSWAGEN VENTO HIGHLINE PETROL,60,Highline Petrol,VOLKSWAGAN,SELF EMPLOYED NON-PROFESSIONAL,1/20/2015,,A3,Mid-Size,800000,,570,16.4,100901
218,Newton,Newton1@gmail.com,550000,9800,39.1,10260,Phra Khanon,Bnagkok,PARENTS,,SELF EMPLOYED NON-PROFESSIONAL,,5,,บด140,TOYOTA INNOVA,TOYOTA INNOVA 2013 2.5 GX 7 STR BS-III,36,2013 2.5 GX 7 STR BS,TOYOTA,SELF EMPLOYED NON-PROFESSIONAL,1/23/2015,,A3,Mid-Size,700000,,807,14.9,100901
219,Timothy,Timothy1@gmail.com,1000000,18000,42.8,10260,Phra Khanon,Bnagkok,SELF,,SELF EMPLOYED NON-PROFESSIONAL,,5,,บด141,HONDA AMAZE,HONDA AMAZE 1.5 EXMT I-DTEC,60,1.5 EXMT i-DTEC,HONDA,SELF EMPLOYED NON-PROFESSIONAL,1/27/2015,,A3,Mid-Size,1100000,,-1,12.4,100901
220,Marvin,Marvin1@gmail.com,2500000,35000,49.7,10260,Phra Khanon,Bnagkok,SELF,,SELF EMPLOYED NON-PROFESSIONAL,,5,,บด142,Outlander,Mitsubishi - Outlander,60,Outlander,MITSUBISHI,SELF EMPLOYED NON-PROFESSIONAL,1/27/2015,,SUV,SUV,2500000,,769,11.9,100901
221,Ross,Ross1@gmail.com,600000,19600,31.25,10260,Phra Khanon,Bnagkok,SELF,1,SELF EMPLOYED NON-PROFESSIONAL,,5,,บด143,TOYOTA INNOVA,TOYOTA INNOVA 2.5 G 8 STR BS-IV,36,2.5 G 8 STR BS-IV,TOYOTA,SELF EMPLOYED NON-PROFESSIONAL,1/28/2015,673150,A3,Mid-Size,673150,3989,813,26.1,100901
222,Curtis,Curtis1@gmail.com,550000,13500,40.4,10260,Phra Khanon,Bnagkok,SELF,,SELF EMPLOYED NON-PROFESSIONAL,,10,,บด144,MARUTI SUZUKI SWIFT DZIRE,MARUTI SUZUKI SWIFT DZIRE VDI,60,VDI,MARUTI,SELF EMPLOYED NON-PROFESSIONAL,1/30/2015,,A3,Mid-Size,600000,,707,23.9,100901
223,Edmund,Edmund1@gmail.com,700000,13800,27.5,10510,Min buri,Bnagkok,PARENTS,25,SELF EMPLOYED NON-PROFESSIONAL,,6,,บด145,VOLKSWAGEN VENTO,VOLKSWAGEN VENTO HIGHLINE PETROL,60,Highline Petrol,VOLKSWAGAN,SELF EMPLOYED NON-PROFESSIONAL,2/4/2015,903089,A3,Mid-Size,903089,16971.33,735,22.1,101001
225,Jeff,Jeff1@gmail.com,200000,4920,39.42,10510,Min buri,Bnagkok,SELF,10,SELF EMPLOYED NON-PROFESSIONAL,,15,,บด146,CHEVROLET ENJOY,CHEVROLET ENJOY 1.3 LTZ 7 STR,60,1.3 LTZ 7 STR,CHEVROLET INDIA LTD,SELF EMPLOYED NON-PROFESSIONAL,2/7/2015,735581,MUV,MUV,735581,30903.33,824,16.87,101001
226,Elias,Elias1@gmail.com,1900000,64705,52.67,10510,Min buri,Bnagkok,SELF,5,SELF EMPLOYED NON-PROFESSIONAL,,8,,บด147,HONDA CR-V,HONDA CR-V 2.0L 2WD AT,36,2.0L 2WD AT,HONDA,SELF EMPLOYED NON-PROFESSIONAL,2/10/2015,2137599,SUV,SUV,2137599,141788.9,727,13.76,101001
227,Harrison,Harrison1@gmail.com,600000,18880,32.12,10510,Min buri,Bnagkok,PARENTS,15,SELF EMPLOYED NON-PROFESSIONAL,,9,,บด148,SKODA YETI,SKODA YETI AMBITION 2.0 TDI CR 4X4,60,2.0 TDI CR 4x4,SKODA,SELF EMPLOYED NON-PROFESSIONAL,2/12/2015,861237,SUV,SUV,861237,1965.17,787,17.58,101001
228,Stanley,Stanley1@gmail.com,700000,18500,46.9,10510,Min buri,Bnagkok,SELF,,SELF EMPLOYED NON-PROFESSIONAL,,,,บด149,TATA SAFARI STORME,TATA SAFARI STORME 2.2 EX 4X2,48,2.2 EX 4x2,TATA MOTORS LTD,SELF EMPLOYED NON-PROFESSIONAL,2/13/2015,,MUV,MUV,800000,,596,18.98,101001
229,Columbus,Columbus1@gmail.com,600000,21500,33,10510,Min buri,Bnagkok,PARENTS,7,SELF EMPLOYED NON-PROFESSIONAL,,8,,บด151,TOYOTA INNOVA,TOYOTA INNOVA 2013 2.5 GX 8 STR BS-III,34,2013 2.5 GX 8 STR B,TOYOTA,SELF EMPLOYED NON-PROFESSIONAL,2/13/2015,758169,A3,Mid-Size,758169,3150.25,800,11.7,101001
230,Lon,Lon1@gmail.com,200000,8400,32.42,10510,Min buri,Bnagkok,SELF,7,SELF EMPLOYED NON-PROFESSIONAL,,10,,บด152,TATA INDICA VISTA,TATA INDICA VISTA LS TDI BS-III,30,LS TDI BS-III,TATA MOTORS LTD,SELF EMPLOYED NON-PROFESSIONAL,2/21/2015,324566,A2,Compact,324566,1702.08,758,11.5,101001
231,Ora,Ora1@gmail.com,300000,8050,41.75,10510,Min buri,Bnagkok,SELF,11,SELF EMPLOYED NON-PROFESSIONAL,,40,,บด154,HYUNDAI I20,HYUNDAI I20 MAGNA (O) 1.2,48,Magna (O) 1.2,HYUNDAI,SELF EMPLOYED NON-PROFESSIONAL,2/21/2015,306561,A3,Mid-Size,306561,341259.5,803,21.5,101001
232,Ollie,Ollie1@gmail.com,400000,21250,39.5,10510,Min buri,Bnagkok,SELF,3,SELF EMPLOYED NON-PROFESSIONAL,,9,,บด155,HONDA AMAZE,HONDA AMAZE 1.5 VXMT I-DTEC,36,1.5 VXMT i-DTEC,HONDA,SELF EMPLOYED NON-PROFESSIONAL,2/24/2015,492895,A3,Mid-Size,492895,,673,19.32,101001
233,Russell,Russell1@gmail.com,600000,17522,47.8,10510,Min buri,Bnagkok,RENTED,0.3,SELF EMPLOYED NON-PROFESSIONAL,,10,,บด156,FORD FIESTA,FORD FIESTA TITANIUM+ PETROL,48,Titanium+ Petrol,FORD INDIA,SELF EMPLOYED NON-PROFESSIONAL,2/26/2015,561466,A3,Mid-Size,561466,,826,17.53,101001
234,Pearl,Pearl1@gmail.com,416000,16235,36.1,10510,Min buri,Bnagkok,SELF,12,SELF EMPLOYED NON-PROFESSIONAL,,2,,บด157,NISSAN SUNNY,NISSAN SUNNY XV,36,XV,Nissan,SELF EMPLOYED NON-PROFESSIONAL,2/27/2015,595301,A3,Mid-Size,1190602,17909.5,774,11.5,101001
236,Solomon,Solomon1@gmail.com,300000,7060,27.1,10510,Min buri,Bnagkok,PARENTS,3,SALARIED,0.9,,0.9,บด159,MARUTI SUZUKI WAGON R 1.0,MARUTI SUZUKI WAGON R 1.0 LXI CNG,60,LXi CNG,MARUTI,SALARIED,3/2/2015,356523,A2,Compact,356523,24809.08,779,18.5,101001
237,Arch,Arch1@gmail.com,350000,9450,28.33,10510,Min buri,Bnagkok,PARENTS,25,SALARIED,5,,10,บด161,TATA INDIGO ECS,TATA INDIGO ECS LS TDI BS-III,54,LS TDI BS-III,TATA MOTORS LTD,SALARIED,3/3/2015,412577,A3,Mid-Size,412577,25723.83,733,17.03,101001
238,Asa,Asa1@gmail.com,425000,7900,43.8,10510,Min buri,Bnagkok,PARENTS,40,SALARIED,15,,15,บด162,MARUTI SUZUKI RITZ,MARUTI SUZUKI RITZ VXI BS-IV,36,Vxi BS-IV,MARUTI,SALARIED,3/3/2015,260000,A2,Compact,260000,9584.17,661,19.8,101001
